symbol,yahoo_ticker,market_cap,isin,name,market,icb_industry,icb_supersector,icb_sector,icb_subsector
DPT,DPT.PA,81913440.0,FR0000054199,ST DUPONT,XPAR,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201020, Personal Products"
ALMDG,ALMDG.PA,81165992.0,FR0010353888,MGI DIGITAL GRAPHI,ALXP,"50, Industrials","5020, Industrial Goods and Services","502020, Electronic and Electrical Equipment","50202025, Electronic Equipment: Gauges and Meters"
ALBI,ALBI.PA,80554040.0,FR0000124414,GASCOGNE,ALXP,"50, Industrials","5020, Industrial Goods and Services","502030, General Industrials","50203030, Containers and Packaging"
ALECR,ALECR.PA,80199600.0,FR0013256518,EUROFINS CEREP,ALXP,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals"
SRP,SRP.PA,79959192.0,FR0013006558,SHOWROOMPRIVE,XPAR,"40, Consumer Discretionary","4040, Retail","404010, Retailers","40401020, Apparel Retailers"
ALLUX,ALLUX.PA,77117440.0,FR0000060451,INSTALLUX,ALXP,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101035, Building Materials: Other"
ALDEL,ALDEL.PA,76441120.0,FR0000054132,DELFINGEN,ALXP,"40, Consumer Discretionary","4010, Automobiles and Parts","401010, Automobiles and Parts","40101025, Auto Parts"
ABEO,ABEO.PA,73790440.0,FR0013185857,ABEO,XPAR,"40, Consumer Discretionary","4020, Consumer Products and Services","402030, Leisure Goods","40203050, Recreational Products"
ALODC,ALODC.PA,73541240.0,FR0014003T71,OMER-DECUGIS & CIE,ALXP,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products"
EKI,EKI.PA,73454072.0,FR0011466069,EKINOPS,XPAR,"15, Telecommunications","1510, Telecommunications","151010, Telecommunications Equipment","15101010, Telecommunications Equipment"
LACR,LACR.PA,72794776.0,FR0000066607,LACROIX GROUP,XPAR,"50, Industrials","5020, Industrial Goods and Services","502020, Electronic and Electrical Equipment","50202040, Electronic Equipment: Other"
ALLDL,ALLDL.PA,70802392.0,FR0000075442,GROUPE LDLC,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101020, Consumer Digital Services"
HCO,HCO.PA,70246160.0,FR0000054231,HIGH CO,XPAR,"40, Consumer Discretionary","4030, Média","403010, Média","40301020, Media Agencies"
SABE,SABE.PA,70236736.0,FR0000060121,SAINT JEAN GROUPE,XPAR,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products"
VTR,VTR.PA,69896592.0,FR0010309096,VITURA,XPAR,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102030, Office REITs"
ALMOU,ALMOU.PA,69298808.0,FR0011033083,MOULINVEST,ALXP,"55, Basic Materials","5510, Basic Resources","551010, Industrial Materials","55101010, Forestry"
GUI,GUI.PA,68910848.0,FR0000066722,GUILLEMOT,XPAR,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102030, Computer Hardware"
ALPUL,ALPUL.PA,68263448.0,FR0012419307,PULLUP ENTERTAIN,ALXP,"40, Consumer Discretionary","4020, Consumer Products and Services","402030, Leisure Goods","40203040, Electronic Entertainment"
ALHGR,ALHGR.PA,67239688.0,FR0013451044,HOFFMANN,ALXP,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101030, Cement"
ALCAT,ALCAT.PA,66151012.0,FR0010193052,CATANA GROUP,ALXP,"40, Consumer Discretionary","4020, Consumer Products and Services","402030, Leisure Goods","40203055, Recreational Vehicles and Boats"
S30,S30.PA,66061916.0,FR0013379484,SOLUTIONS 30 SE,XPAR,"10, Technology","1010, Technology","101010, Software and Computer Services","10101010, Computer Services"
AB,AB.PA,65240776.0,FR0010557264,AB SCIENCE,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
